heat_transfer_coefficient,tool_thickness,max_temperature
79.33082436,0.004866983,203.49
36.99460473,0.022184484,183.57
45.49409168,0.033961759,180.09
17.2698944,0.022042089,180.62
23.24718489,0.014142897,189.82
92.56609453,0.0330425,181.99
59.54067592,0.03787611,180.08
53.87174856,0.003979672,209.73
84.40040871,0.005781455,201.56
80.78377655,0.024467287,184.72
45.08831063,0.007922121,201.73
64.65040508,0.020470348,186.45
60.32891359,0.013306709,192.97
78.75709708,0.008296297,198.69
50.44254235,0.028310606,181.58
56.15981976,0.01242036,194.03
13.65983704,0.015853917,185.17
52.62180596,0.016422104,189.33
52.56593925,0.02909968,181.42
77.92079699,0.0103219,196.25
85.74699956,0.041790544,180.13
49.47330674,0.010592815,196.67
40.98040133,0.028243763,180.96
71.11441143,0.032203062,181.36
63.62998357,0.024795035,183.79
43.55936424,0.048906616,179.44
79.15653445,0.012543505,193.8
93.34511754,0.046292493,180.06
51.31099244,0.032759929,180.35
30.64029835,0.008302198,201.62
89.58749934,0.034415247,181.5
64.53523804,0.018498799,187.97
23.67423176,0.006970459,205.65
69.20695464,0.038019007,180.16
48.63613607,0.047158495,179.78
89.73822387,0.024022295,185.33
61.28049929,0.018132152,188.14
50.06551474,0.042778612,179.96
58.48789622,0.017138043,188.9
87.31594629,0.022791169,185.93
38.31669296,0.017013193,187.86
64.83146992,0.03005392,181.73
29.53690138,0.026116802,180.67
96.10433377,0.004192256,202.35
57.67302991,0.030216633,181.33
18.21992524,0.002741189,227.7
60.41508846,0.003766591,208.82
41.0581177,0.016196796,188.91
66.6026697,0.009633368,197.57
65.33756778,0.002432793,210.86
62.6112161,0.019411123,187.15
84.11673805,0.008945506,197.58
47.17385174,0.044502387,179.85
35.97460056,0.002328929,221.53
85.25667323,0.038295173,180.57
56.03167356,0.017830022,188.15
43.09693428,0.034131036,180.07
68.6588746,0.032953887,181.06
41.14863327,0.008620517,200.5
21.27389704,0.024037765,180.45
53.23519288,0.034639209,180.16
49.02721664,0.040366583,180
86.1441765,0.024660645,184.84
10.03327196,0.022099932,177.48
49.94453114,0.0263993,182.31
62.96597354,0.004243837,207.23
20.38703603,0.009875338,197.38
38.0311585,0.027375117,181.04
98.80654645,0.014289057,192.1
33.22309627,0.003013322,219.38
82.19683464,0.033710911,181.38
21.81430534,0.021862711,181.74
81.57471194,0.045980933,180.04
94.51800997,0.030934882,182.68
96.50447988,0.007699327,198.24
63.35267007,0.020970779,186.04
60.92232651,0.045716955,180
56.34852192,0.007615175,201.42
63.4643132,0.012671076,193.74
47.5394453,0.018455799,187.12
48.57115599,0.02148773,184.85
39.94598099,0.002224891,220.23
63.84244348,0.019606715,187.06
27.11056516,0.034498961,179.45
41.82530631,0.034928821,180.04
65.58179283,0.035386635,180.45
71.59805155,0.045119874,180.04
61.66455167,0.011539008,195.15
73.40849758,0.011943379,194.51
86.97568356,0.047652996,180.04
64.33712058,0.001403913,213.83
76.63639728,0.011614013,194.82
72.36446053,0.039606447,180.11
81.91107215,0.016908646,189.83
11.9286817,0.004719704,215.76
95.90461732,0.034523562,181.71
27.74931961,0.006772534,206.05
56.6341836,0.006110898,204.3
50.3679981,0.026568331,182.26
64.06436747,0.00781431,200.43
75.83476306,0.007052176,200.6
95.37533686,0.037022656,181.08
91.68740245,0.033487986,181.83
77.03066048,0.032321694,181.55
87.78315266,0.014943274,191.54
97.68467106,0.042135683,180.36
68.07254974,0.037382092,180.2
30.724795,0.024269767,181.69
16.57540087,0.024365301,179.82
19.83283298,0.011668597,193.45
83.87460372,0.002151499,207.24
91.91027868,0.029421847,183.07
93.97272459,0.007197605,198.96
45.35063476,0.027876757,181.41
71.24623431,0.005002847,204.38
41.41833316,0.046459389,179.48
85.35746986,0.020710388,187.15
66.19857599,0.03342593,180.86
12.92694882,0.024610824,178.25
45.82450414,0.001840886,219.32
34.62628098,0.003227225,217.86
87.44575491,0.043878765,180.08
77.40295431,0.040767463,180.11
21.01014445,0.023977787,180.43
52.03939804,0.027512688,181.98
97.1339114,0.025009275,185.1
50.9635083,0.019782523,186.23
92.0143363,0.012274923,193.88
80.3270603,0.006151553,201.46
40.81028788,0.048806005,179.23
87.18012429,0.029419909,182.91
82.89760884,0.041744478,180.11
23.69537664,0.029277122,179.81
37.87537611,0.00659356,205.56
19.08653215,0.005143921,213.12
58.83880543,0.03684319,180.11
37.28026857,0.007502113,203.28
78.42554855,0.024867521,184.41
50.68209128,0.004736654,208.43
24.19825777,0.032529184,179.36
64.09418369,0.044281185,180.02
96.21549336,0.009588201,196.32
85.49538451,0.027688789,183.47
98.28076404,0.031319617,182.68
43.13845703,0.049289395,179.38
11.17089057,0.007225747,203.73
79.47879557,0.021080617,186.69
96.92443304,0.023886445,185.67
29.8579676,0.013453407,191.57
42.42610749,0.048845236,179.36
65.94275269,0.031842727,181.24
47.65761606,0.004494245,209.71
86.67624882,0.003666852,204.32
60.17485064,0.018373798,187.88
14.70429244,0.013005509,189.86
72.24098578,0.014476342,191.85
28.66216547,0.023862313,181.65
74.06569857,0.008242902,199.07
64.79897881,0.019365644,187.29
45.37952922,0.045855448,179.73
10.22607484,0.011345106,191.29
68.58169862,0.043376639,180.04
69.48544211,0.042401474,180.05
87.74861512,0.037665868,180.74
83.32810774,0.046503064,180.04
30.14409334,0.01149387,194.81
24.82305086,0.01995536,183.74
29.24831878,0.023083011,182.18
36.69318622,0.029181738,180.34
84.9208797,0.010656063,195.65
74.88855091,0.01287177,193.49
67.87533938,0.043425728,180.04
58.17937057,0.004167709,208.34
82.61239172,0.036600984,180.78
71.73842837,0.027137566,183.13
38.72748258,0.018099418,186.83
39.19217752,0.024944561,182.21
40.05608742,0.018848794,186.27
37.91429973,0.034428669,180.02
42.23793667,0.025080861,182.39
61.15996391,0.012843662,193.53
55.05337819,0.038532385,180.05
78.76307899,0.022724455,185.62
62.83618671,0.028385665,182.2
92.23383206,0.041916967,180.26
25.05077566,0.015793333,187.9
28.3242087,0.018687989,185.31
32.79406557,0.021034751,183.94
89.22480348,0.049858705,180.03
17.50023114,0.026688107,179.35
14.07946138,0.020546392,180.64
11.04853764,0.020038332,179.94
67.18543327,0.025704181,183.54
46.48412031,0.028391581,181.29
77.06417713,0.044090915,180.05
55.27236305,0.021433815,185.29
92.98760534,0.040600591,180.44
87.5373843,0.030140407,182.69
59.86849652,0.010010226,197.3
54.36107957,0.030595467,181.05
27.29287016,0.020669443,183.55
68.97263967,0.014224044,192.06
74.73979352,0.022139322,185.8
28.48699322,0.020778655,183.63
19.66751026,0.004452907,216.43
57.28047705,0.006490699,203.45
89.9836285,0.049551622,180.04
69.62945676,0.015581326,190.73
16.01561175,0.027111903,178.69
96.95455655,0.04548858,180.08
21.22308021,0.008928619,199.83
65.07381314,0.045229067,180.02
23.18854396,0.014347374,189.52
85.94059901,0.043727171,180.07
96.46297724,0.045517278,180.08
57.4723322,0.005246515,206.01
45.63965764,0.02660292,181.95
73.23857266,0.037935263,180.28
98.84957323,0.010291546,195.54
90.47833657,0.008744281,197.47
49.96309561,0.049444162,179.72
60.52787551,0.031556646,181.08
15.66555372,0.003725203,221.57
87.61878463,0.004350512,203.19
80.99546867,0.046756862,180.04
37.48570366,0.006675866,205.39
54.73085599,0.005713293,205.41
67.04921742,0.034202984,180.73
47.9093016,0.027755075,181.63
23.57613223,0.009264886,199.12
41.75213742,0.04134359,179.82
58.90031331,0.045295794,179.99
51.20228771,0.013247384,192.89
68.33034508,0.034119473,180.8
45.91157281,0.025011732,182.69
71.77939408,0.042686574,180.05
46.10343592,0.015621812,189.85
26.75193286,0.031475267,179.8
66.73549821,0.047275768,180.01
76.72433207,0.036263496,180.67
51.42222445,0.010806668,196.32
60.71961757,0.015282125,190.8
53.76059435,0.047241591,179.9
61.09781184,0.019159712,187.28
67.77883135,0.045002894,180.03
93.64640568,0.007437035,198.72
18.96581141,0.001085464,242.98
67.57605731,0.027218232,182.89
53.93117878,0.036815607,180.07
59.85524975,0.035688992,180.19
61.57940975,0.031006369,181.29
25.29016097,0.020860533,183.1
84.74922545,0.027316062,183.58
64.26366772,0.010630458,196.3
54.27745182,0.014393365,191.58
47.03772001,0.022672766,184.01
54.85442871,0.026822927,182.41
57.78317655,0.007103897,202.23
71.98171436,0.021706667,185.95
11.86251071,0.009453753,196.71
90.10764659,0.04842893,180.04
22.59303624,0.005558282,210.89
52.70520282,0.015669166,190.11
52.95218771,0.040558233,180.02
59.4629126,0.021743491,185.31
80.87907782,0.047152457,180.04
93.08526348,0.001571378,206.43
22.16175096,0.032612659,178.94
75.12561126,0.048335912,180.02
14.01682509,0.007325037,204
18.51743044,0.009699296,197.57
84.19710165,0.026899066,183.72
41.37498025,0.02899446,180.74
74.90400224,0.015327046,191.07
16.11485702,0.026026084,179.16
76.40387448,0.011829728,194.59
40.30316987,0.045380583,179.49
18.71209418,0.023127568,180.41
53.59439498,0.01601942,189.78
45.72854808,0.010941121,196.15
47.73176687,0.042455521,179.93
47.34679218,0.048996985,179.64
53.1026356,0.021921305,184.84
94.76102697,0.01470113,191.77
96.30687699,0.045428381,180.08
42.86727187,0.039618103,179.93
43.87702014,0.005098196,208.78
27.49146267,0.006818688,205.93
82.4109126,0.011777398,194.53
97.09506796,0.012187314,193.87
66.25386442,0.038663533,180.1
28.16343109,0.01758821,186.33
56.5118299,0.039929498,180.04
68.23571241,0.049695525,179.99
15.35464508,0.011446212,193
40.50097659,0.017733535,187.31
89.3064226,0.040913561,180.32
25.16002907,0.011146311,195.1
51.2255073,0.023338125,183.88
76.51094034,0.01800788,188.81
72.62306249,0.049359227,180.01
13.82145549,0.030425507,175.24
42.06511977,0.003563067,214.09
32.76189029,0.007129364,204.6
31.18846811,0.028528201,180.19
37.04903725,0.011122228,195.75
54.04916732,0.018932337,187.1
44.21186406,0.023781796,183.2
74.55380867,0.008040119,199.31
90.09647337,0.002951026,204.87
93.24788882,0.03093987,182.63
93.82054634,0.001383656,206.57
63.70284513,0.013502071,192.78
22.6534776,0.013938152,190.04
57.79608928,0.027714595,182.21
41.51277724,0.030852221,180.26
98.96337553,0.037296347,181.15
76.2865159,0.043610121,180.05
49.12501816,0.03500141,180.09
25.38484889,0.020341607,183.52
67.84367465,0.01666899,189.68
82.1668744,0.027612142,183.38
56.23794382,0.02007509,186.31
92.90368516,0.024099192,185.41
42.54247293,0.041037672,179.86
91.10070585,0.024815707,184.96
